y_true,y_pred,y_prob,idx,actual_cum_rate,predicted_cum_rate
0,0,0.4052860815461942,0,0.0,0.0
0,1,0.4735592809585939,1,0.0,0.5
0,1,0.5849099075626909,2,0.0,0.6666666666666666
0,0,0.2900484032894395,3,0.0,0.5
0,1,0.5832349990823034,4,0.0,0.6
0,0,0.2936758495003634,5,0.0,0.5
0,0,0.3524887311731565,6,0.0,0.42857142857142855
0,1,0.4707824035176684,7,0.0,0.5
1,1,0.6173949663330284,8,0.1111111111111111,0.5555555555555556
0,1,0.48369805374784447,9,0.1,0.6
0,1,0.4976786108877711,10,0.09090909090909091,0.6363636363636364
0,1,0.46643191130482614,11,0.08333333333333333,0.6666666666666666
0,0,0.3552830755233388,12,0.07692307692307693,0.6153846153846154
0,0,0.38379960411826713,13,0.07142857142857142,0.5714285714285714
0,1,0.6981321618250946,14,0.06666666666666667,0.6
0,0,0.3455453589247044,15,0.0625,0.5625
0,0,0.40674228989604605,16,0.058823529411764705,0.5294117647058824
0,0,0.41094180415612386,17,0.05555555555555555,0.5
0,0,0.2538844413521348,18,0.05263157894736842,0.47368421052631576
0,0,0.3615506089613771,19,0.05,0.45
0,1,0.5001727984809061,20,0.047619047619047616,0.47619047619047616
0,0,0.32442680621860803,21,0.045454545454545456,0.45454545454545453
0,1,0.4852967622414724,22,0.043478260869565216,0.4782608695652174
0,0,0.42410351792268897,23,0.041666666666666664,0.4583333333333333
0,0,0.37052217621454986,24,0.04,0.44
0,1,0.5215461431639603,25,0.038461538461538464,0.46153846153846156
0,0,0.4012494568748841,26,0.037037037037037035,0.4444444444444444
0,0,0.4104792708958541,27,0.03571428571428571,0.42857142857142855
0,0,0.38297261351345796,28,0.034482758620689655,0.41379310344827586
1,1,0.4943787772925936,29,0.06666666666666667,0.43333333333333335
1,0,0.3083067435511757,30,0.0967741935483871,0.41935483870967744
0,1,0.5832668622992854,31,0.09375,0.4375
0,1,0.4729289455078516,32,0.09090909090909091,0.45454545454545453
0,1,0.4624445834215969,33,0.08823529411764706,0.47058823529411764
0,0,0.3762440335402614,34,0.08571428571428572,0.45714285714285713
0,0,0.294888413348821,35,0.08333333333333333,0.4444444444444444
0,0,0.3843463502583522,36,0.08108108108108109,0.43243243243243246
0,1,0.5043562744668157,37,0.07894736842105263,0.4473684210526316
0,0,0.4155364374975707,38,0.07692307692307693,0.4358974358974359
0,0,0.26966255053720667,39,0.075,0.425
1,0,0.4447040477243367,40,0.0975609756097561,0.4146341463414634
0,0,0.330780110071271,41,0.09523809523809523,0.40476190476190477
0,1,0.5894262110100696,42,0.09302325581395349,0.4186046511627907
1,0,0.42792215644073384,43,0.11363636363636363,0.4090909090909091
0,0,0.40564479243053164,44,0.1111111111111111,0.4
0,1,0.48881016492044604,45,0.10869565217391304,0.41304347826086957
0,0,0.3821116860349899,46,0.10638297872340426,0.40425531914893614
0,0,0.4317204288017905,47,0.10416666666666667,0.3958333333333333
0,0,0.401340944312888,48,0.10204081632653061,0.3877551020408163
0,1,0.5510068547611808,49,0.1,0.4
0,1,0.49810891011078373,50,0.09803921568627451,0.4117647058823529
0,0,0.24369602223525116,51,0.09615384615384616,0.40384615384615385
1,0,0.36799289432769205,52,0.11320754716981132,0.39622641509433965
0,0,0.4222023372047664,53,0.1111111111111111,0.3888888888888889
0,0,0.35926568573312345,54,0.10909090909090909,0.38181818181818183
0,1,0.7183447965886358,55,0.10714285714285714,0.39285714285714285
0,0,0.4370861890473502,56,0.10526315789473684,0.38596491228070173
1,1,0.5482419633991893,57,0.1206896551724138,0.39655172413793105
0,1,0.4578351382801314,58,0.11864406779661017,0.4067796610169492
0,0,0.3776635334062159,59,0.11666666666666667,0.4
0,0,0.36981895717433677,60,0.11475409836065574,0.39344262295081966
0,0,0.34535691755255266,61,0.11290322580645161,0.3870967741935484
0,1,0.4858849745514949,62,0.1111111111111111,0.3968253968253968
0,0,0.3080183596421117,63,0.109375,0.390625
